,Nivel de formación alcanzado,Tareas,Tiempo dedicado a trabajar en determinadas tareas,Tipo de dato,Total
0,Total,Trabajar con dispositivos digitales,Total,Valores absolutos,"20.373,4"
1,Total,Trabajar con dispositivos digitales,Total,Porcentajes,"100,00"
2,Total,Trabajar con dispositivos digitales,La mitad o más,Valores absolutos,"8.532,8"
3,Total,Trabajar con dispositivos digitales,La mitad o más,Porcentajes,"41,88"
4,Total,Trabajar con dispositivos digitales,Menos de la mitad,Valores absolutos,"11.520,2"
5,Total,Trabajar con dispositivos digitales,Menos de la mitad,Porcentajes,"56,55"
6,Total,Trabajar con dispositivos digitales,No sabe/ No contesta,Valores absolutos,"320,4"
7,Total,Trabajar con dispositivos digitales,No sabe/ No contesta,Porcentajes,"1,57"
8,Total,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Valores absolutos,"20.373,4"
9,Total,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Porcentajes,"100,00"
10,Total,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Valores absolutos,"2.428,7"
11,Total,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Porcentajes,"11,92"
12,Total,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Valores absolutos,"17.047,2"
13,Total,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Porcentajes,"83,67"
14,Total,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Valores absolutos,"897,5"
15,Total,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Porcentajes,"4,41"
16,Total,Realizar cálculos relativamente complejos,Total,Valores absolutos,"20.373,4"
17,Total,Realizar cálculos relativamente complejos,Total,Porcentajes,"100,00"
18,Total,Realizar cálculos relativamente complejos,La mitad o más,Valores absolutos,"2.088,9"
19,Total,Realizar cálculos relativamente complejos,La mitad o más,Porcentajes,"10,25"
20,Total,Realizar cálculos relativamente complejos,Menos de la mitad,Valores absolutos,"17.642,6"
21,Total,Realizar cálculos relativamente complejos,Menos de la mitad,Porcentajes,"86,60"
22,Total,Realizar cálculos relativamente complejos,No sabe/ No contesta,Valores absolutos,"642,0"
23,Total,Realizar cálculos relativamente complejos,No sabe/ No contesta,Porcentajes,"3,15"
24,Total,Realizar esfuerzos físicos,Total,Valores absolutos,"20.373,4"
25,Total,Realizar esfuerzos físicos,Total,Porcentajes,"100,00"
26,Total,Realizar esfuerzos físicos,La mitad o más,Valores absolutos,"5.423,4"
27,Total,Realizar esfuerzos físicos,La mitad o más,Porcentajes,"26,62"
28,Total,Realizar esfuerzos físicos,Menos de la mitad,Valores absolutos,"14.650,6"
29,Total,Realizar esfuerzos físicos,Menos de la mitad,Porcentajes,"71,91"
30,Total,Realizar esfuerzos físicos,No sabe/ No contesta,Valores absolutos,"299,4"
31,Total,Realizar esfuerzos físicos,No sabe/ No contesta,Porcentajes,"1,47"
32,Total,Realizar tareas que requieren destreza con los dedos,Total,Valores absolutos,"20.373,4"
33,Total,Realizar tareas que requieren destreza con los dedos,Total,Porcentajes,"100,00"
34,Total,Realizar tareas que requieren destreza con los dedos,La mitad o más,Valores absolutos,"3.856,0"
35,Total,Realizar tareas que requieren destreza con los dedos,La mitad o más,Porcentajes,"18,93"
36,Total,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Valores absolutos,"16.134,0"
37,Total,Realizar tareas que requieren destreza con los dedos,Menos de la mitad,Porcentajes,"79,19"
38,Total,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Valores absolutos,"383,5"
39,Total,Realizar tareas que requieren destreza con los dedos,No sabe/ No contesta,Porcentajes,"1,88"
40,Total,Interactuar con personas de la misma empresa u organización,Total,Valores absolutos,"20.373,4"
41,Total,Interactuar con personas de la misma empresa u organización,Total,Porcentajes,"100,00"
42,Total,Interactuar con personas de la misma empresa u organización,La mitad o más,Valores absolutos,"9.504,9"
43,Total,Interactuar con personas de la misma empresa u organización,La mitad o más,Porcentajes,"46,65"
44,Total,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Valores absolutos,"10.254,4"
45,Total,Interactuar con personas de la misma empresa u organización,Menos de la mitad,Porcentajes,"50,33"
46,Total,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Valores absolutos,"614,2"
47,Total,Interactuar con personas de la misma empresa u organización,No sabe/ No contesta,Porcentajes,"3,01"
48,Total,Interactuar con personas externas a la empresa u organización,Total,Valores absolutos,"20.373,4"
49,Total,Interactuar con personas externas a la empresa u organización,Total,Porcentajes,"100,00"
50,Total,Interactuar con personas externas a la empresa u organización,La mitad o más,Valores absolutos,"8.909,8"
51,Total,Interactuar con personas externas a la empresa u organización,La mitad o más,Porcentajes,"43,73"
52,Total,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Valores absolutos,"10.894,7"
53,Total,Interactuar con personas externas a la empresa u organización,Menos de la mitad,Porcentajes,"53,47"
54,Total,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Valores absolutos,"569,0"
55,Total,Interactuar con personas externas a la empresa u organización,No sabe/ No contesta,Porcentajes,"2,79"
56,Total,"Asesorar, formar o enseñar a otras personas",Total,Valores absolutos,"20.373,4"
57,Total,"Asesorar, formar o enseñar a otras personas",Total,Porcentajes,"100,00"
58,Total,"Asesorar, formar o enseñar a otras personas",La mitad o más,Valores absolutos,"3.083,4"
59,Total,"Asesorar, formar o enseñar a otras personas",La mitad o más,Porcentajes,"15,13"
60,Total,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Valores absolutos,"16.637,8"
61,Total,"Asesorar, formar o enseñar a otras personas",Menos de la mitad,Porcentajes,"81,66"
62,Total,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Valores absolutos,"652,2"
63,Total,"Asesorar, formar o enseñar a otras personas",No sabe/ No contesta,Porcentajes,"3,20"
64,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,Total,Valores absolutos,"6.055,3"
65,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,Total,Porcentajes,"100,00"
66,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,La mitad o más,Valores absolutos,"920,0"
67,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,La mitad o más,Porcentajes,"15,19"
68,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,Menos de la mitad,Valores absolutos,"5.012,5"
69,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,Menos de la mitad,Porcentajes,"82,78"
70,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,No sabe/ No contesta,Valores absolutos,"122,8"
71,Educación secundaria primera etapa e inferior,Trabajar con dispositivos digitales,No sabe/ No contesta,Porcentajes,"2,03"
72,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Valores absolutos,"6.055,3"
73,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,Total,Porcentajes,"100,00"
74,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Valores absolutos,"217,9"
75,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,La mitad o más,Porcentajes,"3,60"
76,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Valores absolutos,"5.614,1"
77,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,Menos de la mitad,Porcentajes,"92,71"
78,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Valores absolutos,"223,3"
79,Educación secundaria primera etapa e inferior,Leer manuales y documentos técnicos relacionados con el trabajo,No sabe/ No contesta,Porcentajes,"3,69"
80,Educación secundaria primera etapa e inferior,Realizar cálculos relativamente complejos,Total,Valores absolutos,"6.055,3"
81,Educación secundaria primera etapa e inferior,Realizar cálculos relativamente complejos,Total,Porcentajes,"100,00"
82,Educación secundaria primera etapa e inferior,Realizar cálculos relativamente complejos,La mitad o más,Valores absolutos,"264,5"
83,Educación secundaria primera etapa e inferior,Realizar cálculos relativamente complejos,La mitad o más,Porcentajes,"4,37"
84,Educación secundaria primera etapa e inferior,Realizar cálculos relativamente complejos,Menos de la mitad,Valores absolutos,"5.608,5"
85,Educación secundaria primera etapa e inferior,Realizar cálculos relativamente complejos,Menos de la mitad,Porcentajes,"92,62"
